SSBB,MLBAM,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
346,656820,ChA,Nicholas,Padilla,,,,,,,,,,,,,,,
347,657031,KC,Josh,Taylor,,,,,,,,,,,,,,,
348,622772,NYA,Jimmy,Cordero,,,,,,,,,,,,,,,
349,663992,KC,Richard,Lovelady,,,,,,,,,,,,,,,
350,621057,LAA,Justin,Garza,,,,,,,,,,,,,,,
351,656266,Sea,J.B.,Bukauskas,,,,,,,,,,,,,,,
352,687014,ChA,Nick,Avila,,,,,,,,,,,,,,,
353,687330,TB,Kevin,Kelly,,,,,,,,,,,,,,,
354,662139,Tor,Daulton,Varsho,,,,,2.14,0.51,0.15,0.52,0.15,1,6,19,-4,-18,-57
355,672386,Tor,Alejandro,Kirk,,,,,,0.53,0.18,0.53,0.18,-3,-3,-11,9,7,29
356,669004,KC,MJ,Melendez,,,,,2.07,0.48,0.16,0.48,0.17,-3,1,4,9,-4,-14
357,521692,KC,Salvador,Perez,,,,,,0.33,0.17,0.33,0.17,-6,-9,-17,16,23,42
358,668939,Bal,Adley,Rutschman,,,,,,0.41,0.15,0.41,0.15,1,3,10,-2,-7,-24
359,641680,Tex,Jonah,Heim,,,,,,0.5,0.14,0.51,0.14,-11,-8,-18,28,19,43
360,543877,Min,Christian,Vazquez,,,,,,0.5,0.18,0.5,0.18,0,-1,-7,1,1,16
361,663728,Sea,Cal,Raleigh,,,,,,0.51,0.2,0.52,0.2,-7,-6,0,18,17,-1
362,518735,ChA,Yasmani,Grandal,,,,,,0.6,0.16,0.61,0.16,-9,-12,-11,25,32,29
363,455117,Hou,Martin,Maldonado,,,,,,0.39,0.14,0.39,0.14,-8,-8,-22,17,19,50
364,545358,LAA,Max,Stassi,,,,,,0.51,0.13,0.52,0.13,2,0,5,-4,1,-11
365,624431,NYA,Jose,Trevino,,,,,,0.43,0.16,0.43,0.16,-2,-5,-8,5,13,21
366,606992,Det,Eric,Haase,,,,,,0.46,0.17,0.47,0.17,-9,-9,-20,20,20,42
367,542194,TB,Christian,Bethancourt,1.83,,,,,0.48,0.18,0.49,0.18,-3,-7,-5,7,15,10
368,642336,TB,Francisco,Mejia,,,,,,0.44,0.16,0.45,0.16,-14,-11,-12,30,25,27
